name,           n_max,  line,           needs_line, strength_lower, strength_upper, v_off_lower,    v_off_upper,    sigma_v_lower,  sigma_v_upper,  is_copy_of, scale_init,     scale_lower,    scale_upper,    comment
Lyman-a,        1,      1215 angstrom,  ,           ,               ,               ,               ,               ,               ,               CIV-1549,   1,              0,              ,               AGN-lines  
NV-1240,        1,      1240 angstrom,  Lyman-a,    ,               ,               ,               ,               ,               ,               CIV-1549,   1,              0,              ,               AGN-lines
SiII-1263,      1,      1263 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
OI-1303,        1,      1303 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
CII-1335,       1,      1335 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
SiIV-1397,      2,      1397 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
OIV]-1402,      2,      1402 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
NIV]-1487,      1,      1487 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
CIV-1549,       5,      1549 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
HeII-1640,      1,      1640 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
OIII]-1664,     1,      1664 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
NIII]-1750,     1,      1750 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
FeIII-1786,     1,      1786 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               Vestergaard&Wilkes (iron)
SiII-1814,      1,      1814 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
AlIII-1857,     1,      1857 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
SiIII]-1892,    1,      1892 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
CIII]-1909,     1,      1909 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines
FeIII-1912,     1,      1912 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               Vestergaard&Wilkes (iron)
MgII-2798,      2,      2798 angstrom,  ,           ,               ,               ,               ,               ,               ,               ,           ,               ,               ,               AGN-lines